src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code,new_label,new_label_code
192.168.158.111,136.152.132.132,1,1,6,8,348,536,40,68,58.0,9.45,40,128,67.0,36.37,0.0,0.913,0.598,0.322,0.066,0.845,0.426,0.261,0,0,0,0,0,0,0.0,136.152.132.132,Rockwell Automation/Allen-Bradley,PLC:107,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:107,25
192.168.158.111,158.145.158.2,1,1,7,5,376,319,40,68,53.71,12.07,40,123,63.8,31.32,0.0,0.347,0.222,0.157,0.322,0.347,0.334,0.009,0,0,0,0,0,0,0.0,158.145.158.2,Rockwell Automation/Allen-Bradley,PLC:185,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:185,39
192.168.158.111,78.35.20.251,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.464,0.33,0.192,0.417,0.463,0.447,0.021,0,0,0,0,0,0,0.0,78.35.20.251,Rockwell Automation/Allen-Bradley,Communication Module:158,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:158,13
192.168.158.111,222.191.168.190,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.299,0.218,0.126,0.287,0.301,0.295,0.006,0,0,0,0,0,0,0.0,222.191.168.190,Rockwell Automation/Allen-Bradley,Communication Module:120,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:120,11
192.168.158.111,158.139.129.209,1,1,6,4,420,307,52,80,70.0,10.26,40,127,76.75,32.28,0.0,0.667,0.316,0.211,0.3,0.68,0.429,0.178,0,0,0,0,0,0,0.0,158.139.129.209,Rockwell Automation/Allen-Bradley,Communication Module:58,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:58,18
192.168.158.111,158.241.24.15,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.618,0.317,0.218,0.311,0.326,0.32,0.006,0,0,0,0,0,0,0.0,158.241.24.15,Rockwell Automation/Allen-Bradley,Communication Module:158,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:158,13
192.168.158.111,222.191.168.185,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.002,0.315,0.223,0.129,0.288,0.295,0.291,0.003,0,0,0,0,0,0,0.0,222.191.168.185,Rockwell Automation/Allen-Bradley,Communication Module:120,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:120,11
192.168.158.111,158.164.206.147,1,1,5,4,296,279,40,68,59.2,9.93,40,123,69.75,32.39,0.0,0.362,0.253,0.147,0.312,0.325,0.32,0.006,0,0,0,0,0,0,0.0,158.164.206.147,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,78.35.20.248,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.33,0.238,0.137,0.31,0.33,0.317,0.01,0,0,0,0,0,0,0.0,78.35.20.248,Rockwell Automation/Allen-Bradley,Communication Module:158,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:158,13
192.168.158.111,222.191.168.176,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.291,0.216,0.125,0.285,0.29,0.287,0.002,0,0,0,0,0,0,0.0,222.191.168.176,Rockwell Automation/Allen-Bradley,Communication Module:120,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:120,11
192.168.158.111,49.57.214.219,1,1,8,6,428,387,40,68,53.5,11.3,40,123,64.5,28.63,0.0,0.33,0.187,0.156,0.021,0.329,0.261,0.12,0,0,0,0,0,0,0.0,49.57.214.219,Rockwell Automation/Allen-Bradley,PLC:185,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:185,39
192.168.158.111,136.152.134.252,1,1,5,6,296,368,40,68,59.2,9.93,40,128,61.33,31.47,0.0,0.342,0.254,0.146,0.001,0.34,0.202,0.163,0,0,0,0,0,0,0.0,136.152.134.252,Rockwell Automation/Allen-Bradley,PLC:154,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:154,34
192.168.158.111,146.255.25.214,1,1,3,0,180,0,60,60,60.0,0.0,0,0,0.0,0.0,1.009,2.015,1.512,0.503,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-1.0,146.255.25.214,Rockwell Automation/Allen-Bradley,Communication Module:120,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:120,11
192.168.158.111,78.35.20.242,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.451,0.332,0.192,0.402,0.45,0.429,0.02,0,0,0,0,0,0,0.0,78.35.20.242,Rockwell Automation/Allen-Bradley,Communication Module:158,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:158,13
192.168.158.111,222.191.168.183,1,1,5,5,296,323,40,68,59.2,9.93,40,127,64.6,32.84,0.0,0.301,0.22,0.127,0.004,0.292,0.217,0.123,0,0,0,0,0,0,0.004032,222.191.168.183,Rockwell Automation/Allen-Bradley,Communication Module:120,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:120,11
192.168.158.111,158.241.24.8,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.301,0.225,0.13,0.299,0.301,0.3,0.001,0,0,0,0,0,0,0.0,158.241.24.8,Rockwell Automation/Allen-Bradley,Communication Module:158,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:158,13
192.168.158.111,78.35.20.244,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.38,0.26,0.152,0.309,0.38,0.343,0.029,0,0,0,0,0,0,0.0,78.35.20.244,Rockwell Automation/Allen-Bradley,Communication Module:158,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:158,13
192.168.158.111,158.139.129.212,1,1,5,4,344,307,52,80,68.8,10.85,40,127,76.75,32.28,0.0,0.308,0.221,0.128,0.277,0.291,0.284,0.005,0,0,0,0,0,0,0.0,158.139.129.212,Rockwell Automation/Allen-Bradley,Communication Module:58,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:58,18
192.168.158.111,222.191.168.216,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.31,0.224,0.129,0.286,0.309,0.298,0.009,0,0,0,0,0,0,0.0,222.191.168.216,Rockwell Automation/Allen-Bradley,Communication Module:120,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:120,11
192.168.158.111,158.241.24.0,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.376,0.247,0.146,0.291,0.319,0.307,0.012,0,0,0,0,0,0,0.0,158.241.24.0,Rockwell Automation/Allen-Bradley,Communication Module:158,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:158,13
192.168.158.111,158.139.129.214,1,1,5,4,344,307,52,80,68.8,10.85,40,127,76.75,32.28,0.0,0.295,0.219,0.126,0.291,0.295,0.293,0.002,0,0,0,0,0,0,0.0,158.139.129.214,Rockwell Automation/Allen-Bradley,Communication Module:58,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:58,18
192.168.158.111,222.191.168.124,1,1,5,5,344,371,52,80,68.8,10.85,40,139,74.2,34.92,0.0,0.379,0.28,0.161,0.005,0.368,0.277,0.157,0,0,0,0,0,0,0.004945,222.191.168.124,Rockwell Automation/Allen-Bradley,Communication Module:120,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:120,11
192.168.158.111,78.35.20.241,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.722,0.494,0.289,0.62,0.722,0.668,0.042,0,0,0,0,0,0,0.0,78.35.20.241,Rockwell Automation/Allen-Bradley,Communication Module:158,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:158,13
192.168.158.111,158.241.29.22,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.307,0.227,0.131,0.3,0.308,0.303,0.003,0,0,0,0,0,0,0.0,158.241.29.22,Rockwell Automation/Allen-Bradley,Communication Module:158,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:158,13
192.168.158.111,158.145.111.216,1,1,5,4,296,280,40,68,59.2,9.93,40,124,70.0,32.8,0.0,0.349,0.249,0.144,0.313,0.331,0.32,0.008,0,0,0,0,0,0,0.0,158.145.111.216,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,222.191.167.108,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.328,0.235,0.136,0.302,0.307,0.305,0.002,0,0,0,0,0,0,0.0,222.191.167.108,Rockwell Automation/Allen-Bradley,Communication Module:120,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:120,11
192.168.158.111,34.73.83.202,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.001,0.246,0.184,0.106,0.245,0.246,0.245,0.001,0,0,0,0,0,0,0.0,34.73.83.202,Schneider Electric,PLC:BMX P34 20302,Schneider,0,Schneider Electric:PLC:BMX P34 20302,46
192.168.158.111,78.35.20.247,1,1,5,4,344,319,52,80,68.8,10.85,40,139,79.75,37.02,0.0,0.334,0.239,0.138,0.309,0.35,0.323,0.019,0,0,0,0,0,0,0.0,78.35.20.247,Rockwell Automation/Allen-Bradley,Communication Module:158,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:158,13
192.168.158.111,158.145.216.32,1,1,5,4,296,279,40,68,59.2,9.93,40,123,69.75,32.39,0.0,0.484,0.298,0.18,0.333,0.367,0.347,0.015,0,0,0,0,0,0,0.0,158.145.216.32,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,136.152.132.154,1,1,6,7,356,408,40,68,59.33,9.07,40,128,58.29,30.07,0.0,1.005,0.406,0.329,0.01,0.37,0.187,0.152,0,0,0,0,0,0,0.0,136.152.132.154,Rockwell Automation/Allen-Bradley,PLC:152,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:152,32
192.168.158.111,109.177.73.154,1,1,5,4,296,280,40,68,59.2,9.93,40,124,70.0,32.8,0.0,0.268,0.197,0.114,0.248,0.259,0.255,0.006,0,0,0,0,0,0,0.0,109.177.73.154,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,158.145.216.33,1,1,16,8,772,558,40,68,48.25,10.24,40,123,69.75,32.39,0.0,31.62,4.244,8.419,0.03,0.28,0.171,0.112,0,0,0,0,0,0,0.0,158.145.216.33,Rockwell Automation/Allen-Bradley,PLC:185,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:185,39
192.168.158.111,158.241.56.104,1,1,5,4,296,279,40,68,59.2,9.93,40,123,69.75,32.39,0.0,0.338,0.237,0.138,0.292,0.338,0.317,0.019,0,0,0,0,0,0,0.0,158.241.56.104,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,158.241.61.233,1,1,5,4,296,279,40,68,59.2,9.93,40,123,69.75,32.39,0.0,0.4,0.28,0.163,0.32,0.378,0.346,0.024,0,0,0,0,0,0,0.0,158.241.61.233,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,136.152.102.73,1,1,7,6,376,395,40,68,53.71,12.07,40,123,65.83,27.63,0.0,0.448,0.201,0.179,0.04,0.36,0.224,0.151,0,0,0,0,0,0,0.0,136.152.102.73,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,158.139.129.227,1,1,5,4,344,307,52,80,68.8,10.85,40,127,76.75,32.28,0.0,0.306,0.225,0.13,0.29,0.306,0.297,0.007,0,0,0,0,0,0,0.0,158.139.129.227,Rockwell Automation/Allen-Bradley,Communication Module:58,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:58,18
192.168.158.111,136.151.192.28,1,1,5,4,296,279,40,68,59.2,9.93,40,123,69.75,32.39,0.0,0.4,0.297,0.171,0.387,0.4,0.395,0.005,0,0,0,0,0,0,0.0,136.151.192.28,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,158.139.129.225,1,1,5,4,344,307,52,80,68.8,10.85,40,127,76.75,32.28,0.0,0.367,0.242,0.142,0.293,0.302,0.297,0.004,0,0,0,0,0,0,0.0,158.139.129.225,Rockwell Automation/Allen-Bradley,Communication Module:58,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:58,18
192.168.158.111,221.241.99.205,1,1,6,6,336,350,40,68,56.0,11.55,40,114,58.33,26.69,0.0,0.402,0.141,0.14,0.048,0.25,0.142,0.067,0,0,0,0,0,0,0.0,221.241.99.205,Omron Corporation,Communication Module:23,Omron,0,Omron Corporation:Communication Module:23,6
192.168.158.111,158.241.61.122,1,1,7,5,448,387,52,80,64.0,11.9,52,143,77.4,34.36,0.0,0.567,0.273,0.207,0.319,0.361,0.348,0.017,0,0,0,0,0,0,0.0,158.241.61.122,Rockwell Automation/Allen-Bradley,PLC:176,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:176,35
192.168.158.111,158.139.129.224,1,1,5,4,344,307,52,80,68.8,10.85,40,127,76.75,32.28,0.0,0.31,0.223,0.129,0.29,0.312,0.304,0.01,0,0,0,0,0,0,0.0,158.139.129.224,Rockwell Automation/Allen-Bradley,Communication Module:58,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:58,18
192.168.158.111,49.57.214.224,1,1,8,6,428,366,40,68,53.5,11.3,40,122,61.0,28.84,0.0,0.33,0.186,0.155,0.021,0.33,0.26,0.12,0,0,0,0,0,0,0.0,49.57.214.224,Rockwell Automation/Allen-Bradley,PLC:185,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:185,39
192.168.158.111,136.29.162.70,1,1,5,4,296,280,40,68,59.2,9.93,40,124,70.0,32.8,0.0,0.329,0.241,0.139,0.315,0.328,0.321,0.005,0,0,0,0,0,0,0.0,136.29.162.70,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,221.251.11.67,1,1,6,5,336,310,40,68,56.0,11.55,40,114,62.0,27.83,0.0,0.427,0.209,0.173,0.009,0.427,0.262,0.154,0,0,0,0,0,0,0.0,221.251.11.67,Omron Corporation,Communication Module:11,Omron,0,Omron Corporation:Communication Module:11,4
192.168.158.111,136.25.83.72,1,1,5,4,296,279,40,68,59.2,9.93,40,123,69.75,32.39,0.0,0.316,0.232,0.134,0.305,0.316,0.31,0.004,0,0,0,0,0,0,0.0,136.25.83.72,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,158.145.216.28,1,1,5,4,296,279,40,68,59.2,9.93,40,123,69.75,32.39,0.0,0.354,0.253,0.146,0.328,0.342,0.333,0.006,0,0,0,0,0,0,0.0,158.145.216.28,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,221.251.11.68,1,1,6,5,336,310,40,68,56.0,11.55,40,114,62.0,27.83,0.0,0.325,0.149,0.125,0.013,0.326,0.191,0.113,0,0,0,0,0,0,0.0,221.251.11.68,Omron Corporation,Communication Module:11,Omron,0,Omron Corporation:Communication Module:11,4
192.168.158.111,158.139.129.230,1,1,5,5,344,359,52,80,68.8,10.85,40,127,71.8,30.52,0.0,0.289,0.208,0.12,0.008,0.281,0.207,0.115,0,0,0,0,0,0,0.0,158.139.129.230,Rockwell Automation/Allen-Bradley,Communication Module:58,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:58,18
192.168.158.111,221.251.11.60,1,1,6,5,336,310,40,68,56.0,11.55,40,114,62.0,27.83,0.0,0.319,0.144,0.117,0.03,0.319,0.182,0.103,0,0,0,0,0,0,0.0,221.251.11.60,Omron Corporation,Communication Module:11,Omron,0,Omron Corporation:Communication Module:11,4
192.168.158.111,136.24.33.123,1,1,5,4,296,280,40,68,59.2,9.93,40,124,70.0,32.8,0.0,0.336,0.243,0.14,0.308,0.335,0.321,0.011,0,0,0,0,0,0,0.0,136.24.33.123,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,158.145.168.32,1,1,7,5,448,387,52,80,64.0,11.9,52,143,77.4,34.36,0.0,0.353,0.222,0.157,0.319,0.337,0.325,0.007,0,0,0,0,0,0,0.0,158.145.168.32,Rockwell Automation/Allen-Bradley,PLC:176,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:176,35
192.168.158.111,220.45.73.244,1,1,7,10,376,507,40,68,53.71,12.07,40,111,50.7,21.78,0.0,0.204,0.13,0.092,0.0,0.205,0.09,0.087,0,0,0,0,0,0,0.000374,220.45.73.244,Keyence Corporation,Communication Module:107,Keyence,0,Keyence Corporation:Communication Module:107,3
192.168.158.111,158.139.129.232,1,1,5,4,344,307,52,80,68.8,10.85,40,127,76.75,32.28,0.0,0.304,0.227,0.131,0.292,0.304,0.3,0.006,0,0,0,0,0,0,0.0,158.139.129.232,Rockwell Automation/Allen-Bradley,Communication Module:58,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:58,18
192.168.158.111,158.139.143.106,1,1,5,4,296,279,40,68,59.2,9.93,40,123,69.75,32.39,0.0,0.333,0.246,0.142,0.32,0.333,0.324,0.006,0,0,0,0,0,0,0.0,158.139.143.106,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,49.57.214.225,1,1,8,6,428,386,40,68,53.5,11.3,40,122,64.33,28.29,0.0,0.333,0.187,0.16,0.006,0.333,0.262,0.128,0,0,0,0,0,0,0.0,49.57.214.225,Rockwell Automation/Allen-Bradley,PLC:185,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:185,39
192.168.158.111,158.241.74.116,1,1,5,4,296,279,40,68,59.2,9.93,40,123,69.75,32.39,0.0,0.399,0.277,0.161,0.332,0.365,0.346,0.014,0,0,0,0,0,0,0.0,158.241.74.116,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,61.130.19.46,1,1,5,4,296,280,40,68,59.2,9.93,40,124,70.0,32.8,0.0,0.334,0.244,0.141,0.307,0.333,0.32,0.011,0,0,0,0,0,0,0.0,61.130.19.46,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,126.229.54.2,1,1,5,4,296,275,40,68,59.2,9.93,40,115,68.75,28.49,0.0,0.058,0.043,0.025,0.057,0.058,0.057,0.0,0,0,0,0,0,0,0.0,126.229.54.2,Rockwell Automation/Allen-Bradley,Communication Module:166,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:166,14
192.168.158.111,158.139.173.219,1,1,5,6,296,374,40,68,59.2,9.93,40,134,62.33,33.59,0.0,0.321,0.236,0.136,0.01,0.31,0.19,0.147,0,0,0,0,0,0,0.0,158.139.173.219,Rockwell Automation/Allen-Bradley,PLC:178,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:178,37
192.168.158.111,126.229.54.1,1,1,5,4,296,275,40,68,59.2,9.93,40,115,68.75,28.49,0.0,0.056,0.042,0.024,0.055,0.057,0.056,0.0,0,0,0,0,0,0,0.0,126.229.54.1,Rockwell Automation/Allen-Bradley,Communication Module:166,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:166,14
192.168.158.111,158.241.124.198,1,1,8,7,416,518,40,68,52.0,12.17,40,123,74.0,32.47,0.0,0.299,0.163,0.11,0.058,0.25,0.15,0.091,0,0,0,0,0,0,0.0,158.241.124.198,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,48.28.39.135,1,1,5,5,300,200,60,60,60.0,0.0,40,40,40.0,0.0,0.767,0.789,0.774,0.009,0.759,0.769,0.766,0.004,0,0,0,0,0,0,-1.0,48.28.39.135,Rockwell Automation/Allen-Bradley,Communication Module:99,Rockwell,0,Rockwell Automation/Allen-Bradley:Communication Module:99,20
192.168.158.111,78.35.20.227,1,1,10,9,540,570,40,68,54.0,10.32,40,123,63.33,32.98,0.0,1.006,0.413,0.413,0.04,1.139,0.48,0.432,0,0,0,0,0,0,0.0,78.35.20.227,Rockwell Automation/Allen-Bradley,PLC:185,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:185,39
192.168.158.111,158.139.249.114,1,1,5,4,296,279,40,68,59.2,9.93,40,123,69.75,32.39,0.0,0.559,0.322,0.202,0.341,0.369,0.356,0.012,0,0,0,0,0,0,0.0,158.139.249.114,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,158.241.209.27,1,1,8,7,416,518,40,68,52.0,12.17,40,123,74.0,32.47,0.0,0.434,0.185,0.139,0.052,0.25,0.152,0.092,0,0,0,0,0,0,0.0,158.241.209.27,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,158.139.228.119,1,1,5,4,296,280,40,68,59.2,9.93,40,124,70.0,32.8,0.0,0.417,0.259,0.156,0.3,0.318,0.307,0.008,0,0,0,0,0,0,0.0,158.139.228.119,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:90,43
192.168.158.111,158.241.209.26,1,1,7,5,448,387,52,80,64.0,11.9,52,143,77.4,34.36,0.0,0.433,0.232,0.169,0.312,0.325,0.32,0.005,0,0,0,0,0,0,0.0,158.241.209.26,Rockwell Automation/Allen-Bradley,PLC:176,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:176,35
192.168.158.111,158.139.225.95,1,1,5,4,296,288,40,68,59.2,9.93,40,128,72.0,33.82,0.0,0.331,0.246,0.142,0.328,0.357,0.339,0.013,0,0,0,0,0,0,0.0,158.139.225.95,Rockwell Automation/Allen-Bradley,PLC:106,Rockwell,0,Rockwell Automation/Allen-Bradley:PLC:106,24
