ip_addr,src_port,corporation,vendor,device_type,product_code,product_name,revision
158.241.209.26,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,178,1747-L553/C C/11 - DC 3.46 ,3.11
158.144.151.54,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,20.13
158.139.225.95,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,106,1769-L30ER/A LOGIX5330ER,20.12
158.144.151.52,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,107,1769-L33ER/A LOGIX5333ER,20.14
49.57.215.38,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/14.00,2.14
120.220.211.246,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA B/11.00,2.11
158.139.225.94,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,106,1769-L30ER/A LOGIX5330ER,20.12
158.144.151.53,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,20.12
12.107.90.60,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA C/21.02,2.21
34.158.145.120,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/11.00,2.11
158.139.225.93,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,20.13
158.144.160.139,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXB B/14.00,2.14
220.213.18.191,44818,Omron,Omron Corporation,Communication Module,23,CJ2M-EIP21,2.3
137.101.88.66,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BBB B/14.00,2.14
81.190.155.199,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/9.00,2.9
158.139.225.92,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,20.11
78.35.16.213,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BBB B/9.00,2.9
158.241.155.156,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/14.00,2.14
158.132.145.50,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA A/4.00,1.4
158.139.233.165,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
158.241.155.157,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
158.139.233.167,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/14.00,2.14
34.158.145.121,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BBB B/11.00,2.11
158.139.233.166,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA C/21.02,2.21
158.241.155.158,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,19.15
220.212.144.4,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,16.3
158.139.206.116,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,151,1768-ENBT/A,4.4
96.222.120.226,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/B LOGIX5318ER,30.14
78.35.20.226,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,15.4
158.139.205.179,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/10.00,2.1
158.132.37.90,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,150,1769-L24ER-QBFC1B/A LOGIX5324ER,32.11
96.222.122.23,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/B LOGIX5318ER,30.11
158.241.155.154,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
96.222.118.69,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16DWD B/14.00,2.14
158.132.37.89,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,150,1769-L24ER-QBFC1B/A LOGIX5324ER,32.11
78.35.17.182,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,15.4
158.139.206.117,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,151,1768-ENBT/A,4.4
158.241.155.187,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA B/16.00,2.16
119.121.117.248,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWAA C/21.02,2.21
158.132.37.84,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,150,1769-L24ER-QBFC1B/A LOGIX5324ER,32.11
158.139.211.253,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16AWA B/12.00,2.12
158.240.147.196,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/B LOGIX5318ER,26.13
220.214.70.25,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,149,1769-L24ER-QB1B/A LOGIX5324ER,20.12
34.158.146.54,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/9.00,2.9
158.132.37.57,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,150,1769-L24ER-QBFC1B/A LOGIX5324ER,32.11
158.240.63.74,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWAA B/15.00,2.15
158.133.224.75,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
158.133.224.74,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
96.222.118.67,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXB B/15.00,2.15
140.124.36.198,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/9.00,2.9
158.133.79.26,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,4.3
113.184.27.49,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,176,1747-L551/C C/13 - DC 3.54 ,3.13
74.94.169.139,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,99,1761-NET-ENI/D,1.8
220.171.9.69,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,19.15
158.139.218.201,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA C/21.02,2.21
158.133.79.24,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/11.00,2.11
158.136.123.109,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,150,1769-L24ER-QBFC1B/A LOGIX5324ER,31.11
78.35.27.2,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BBB B/14.00,2.14
96.222.119.94,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,152,1769-L19ER-BB1B/A LOGIX5319ER,30.14
158.240.76.205,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWAA B/15.00,2.15
96.222.50.64,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/B LOGIX5318ER,30.11
158.136.243.202,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16DWD B/14.00,2.14
158.240.83.231,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,166,1756-EN2T/D,10.7
113.184.34.209,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,166,1756-EN2T/C,4.3
113.184.34.211,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16DWD B/9.00,2.9
96.222.49.210,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,152,1769-L19ER-BB1B/A LOGIX5319ER,30.14
140.124.36.199,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BBB B/9.00,2.9
158.240.83.235,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,166,1756-EN2T/D,10.7
220.171.95.157,44818,Omron,Omron Corporation,Communication Module,23,CJ2M-EIP21,2.2
220.168.132.76,44818,Omron,Omron Corporation,Communication Module,23,CJ2M-EIP21,2.1
96.222.48.237,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,17.2
216.27.252.222,44818,Rockwell,Rockwell Automation/Allen-Bradley,HMI,17,PanelView-Plus,3.23
158.133.69.209,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA B/15.00,2.15
158.240.83.233,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,166,1756-EN2T/D,10.7
96.222.56.141,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,20.11
158.133.250.77,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXB C/21.02,2.21
158.240.163.210,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXBA B/21.07,2.21
96.222.70.230,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,150,1769-L24ER-QBFC1B/A LOGIX5324ER,21.11
158.133.251.173,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16AWA B/9.00,2.9
158.136.107.12,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA B/11.00,2.11
158.240.163.212,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXBA B/21.07,2.21
96.222.68.175,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/A LOGIX5318ER,30.14
113.184.112.206,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,166,1756-EN2T/D,10.7
113.184.112.205,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,166,1756-EN2T/D,10.7
96.222.68.174,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/A LOGIX5318ER,21.11
113.159.125.213,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA C/21.02,2.21
158.240.163.213,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXBA B/21.07,2.21
158.136.49.162,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,107,1769-L33ER/A LOGIX5333ER,28.12
113.159.125.214,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA B/13.00,2.13
113.159.125.215,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA B/13.00,2.13
113.159.125.255,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA C/21.02,2.21
158.247.228.80,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,16.21
158.136.49.163,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,107,1769-L33ER/A LOGIX5333ER,30.11
216.27.252.223,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,20.14
96.222.72.176,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/B LOGIX5318ER,26.13
158.247.228.82,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/14.00,2.14
41.148.232.210,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,17.7
158.136.49.161,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWAA C/21.02,2.21
216.27.252.214,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,108,1734-AENT/B Ethernet Adapter,4.3
158.138.229.39,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,176,1769-L30ERMS/A LOGIX5370SAFETY,28.11
158.136.41.223,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
158.134.80.35,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16AWA B/9.00,2.9
96.222.72.193,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,152,1769-L19ER-BB1B/A LOGIX5319ER,30.14
77.24.156.136,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXBA B/11.00,2.11
158.136.41.222,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
140.115.204.74,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BBB B/11.00,2.11
96.222.72.194,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/B LOGIX5318ER,26.13
158.161.122.167,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWAA B/14.00,2.14
158.247.228.84,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/14.00,2.14
158.161.67.128,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWAA B/14.00,2.14
96.222.72.196,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/B LOGIX5318ER,26.13
158.161.42.233,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWAA B/11.00,2.11
158.134.244.158,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWAA C/21.07,2.21
158.161.42.224,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/11.00,2.11
96.222.72.197,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/B LOGIX5318ER,26.13
158.134.224.245,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXBA B/11.00,2.11
158.134.221.138,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA C/21.02,2.21
48.2.53.98,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,177,1747-L552/C C/13 - DC 3.54 ,3.13
96.222.74.184,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,150,1769-L24ER-QBFC1B/A LOGIX5324ER,26.13
158.134.216.29,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWAA A/5.00,1.5
158.134.216.25,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/11.00,2.11
190.45.95.157,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA B/13.00,2.13
158.161.16.192,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWAA B/14.00,2.14
158.134.119.50,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,166,1756-EN2T/D,10.7
158.135.106.50,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,152,1769-L19ER-BB1B/A LOGIX5319ER,30.11
158.161.16.193,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWAA B/14.00,2.14
71.243.54.223,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA B/11.00,2.11
147.184.152.30,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA B/15.00,2.15
158.161.16.195,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWAA C/21.06,2.21
140.40.239.108,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXBA B/15.00,2.15
71.133.20.40,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWAA B/15.04,2.15
146.194.27.77,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXB B/14.00,2.14
158.165.139.235,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA B/15.00,2.15
146.194.31.196,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/A LOGIX5318ER,26.13
96.222.126.14,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/B LOGIX5318ER,30.14
44.203.18.114,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,153,1769-L16ER/B LOGIX5316ER,20.14
146.98.212.126,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWAA B/15.00,2.15
158.165.155.5,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/14.00,2.14
